material_id,M_element,Ru_fraction,M_fraction,nominal_formula,adsorbate,adsorption_site_index,adsorbate_structure_file,parent_slab_file,notes
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,O,1,data\substituted_adsorbates\MAT_008_O_site1_adsorbed.cif,data\substituted_slabs\MAT_008_110_slab.cif,multiple adsorption site structure
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,O,2,data\substituted_adsorbates\MAT_008_O_site2_adsorbed.cif,data\substituted_slabs\MAT_008_110_slab.cif,multiple adsorption site structure
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,O2,0,data\substituted_adsorbates\MAT_008_O2_site0_adsorbed.cif,data\substituted_slabs\MAT_008_110_slab.cif,multiple adsorption site structure
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,O2,1,data\substituted_adsorbates\MAT_008_O2_site1_adsorbed.cif,data\substituted_slabs\MAT_008_110_slab.cif,multiple adsorption site structure
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,O2,2,data\substituted_adsorbates\MAT_008_O2_site2_adsorbed.cif,data\substituted_slabs\MAT_008_110_slab.cif,multiple adsorption site structure
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,N2O,0,data\substituted_adsorbates\MAT_008_N2O_site0_adsorbed.cif,data\substituted_slabs\MAT_008_110_slab.cif,multiple adsorption site structure
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,N2O,1,data\substituted_adsorbates\MAT_008_N2O_site1_adsorbed.cif,data\substituted_slabs\MAT_008_110_slab.cif,multiple adsorption site structure
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,N2O,2,data\substituted_adsorbates\MAT_008_N2O_site2_adsorbed.cif,data\substituted_slabs\MAT_008_110_slab.cif,multiple adsorption site structure
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,O,0,data\substituted_adsorbates\MAT_009_O_site0_adsorbed.cif,data\substituted_slabs\MAT_009_110_slab.cif,multiple adsorption site structure
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,O,1,data\substituted_adsorbates\MAT_009_O_site1_adsorbed.cif,data\substituted_slabs\MAT_009_110_slab.cif,multiple adsorption site structure
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,O,2,data\substituted_adsorbates\MAT_009_O_site2_adsorbed.cif,data\substituted_slabs\MAT_009_110_slab.cif,multiple adsorption site structure
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,O2,0,data\substituted_adsorbates\MAT_009_O2_site0_adsorbed.cif,data\substituted_slabs\MAT_009_110_slab.cif,multiple adsorption site structure
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,O2,1,data\substituted_adsorbates\MAT_009_O2_site1_adsorbed.cif,data\substituted_slabs\MAT_009_110_slab.cif,multiple adsorption site structure
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,O2,2,data\substituted_adsorbates\MAT_009_O2_site2_adsorbed.cif,data\substituted_slabs\MAT_009_110_slab.cif,multiple adsorption site structure
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,N2O,0,data\substituted_adsorbates\MAT_009_N2O_site0_adsorbed.cif,data\substituted_slabs\MAT_009_110_slab.cif,multiple adsorption site structure
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,N2O,1,data\substituted_adsorbates\MAT_009_N2O_site1_adsorbed.cif,data\substituted_slabs\MAT_009_110_slab.cif,multiple adsorption site structure
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,N2O,2,data\substituted_adsorbates\MAT_009_N2O_site2_adsorbed.cif,data\substituted_slabs\MAT_009_110_slab.cif,multiple adsorption site structure
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,O,0,data\substituted_adsorbates\MAT_010_O_site0_adsorbed.cif,data\substituted_slabs\MAT_010_110_slab.cif,multiple adsorption site structure
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,O,1,data\substituted_adsorbates\MAT_010_O_site1_adsorbed.cif,data\substituted_slabs\MAT_010_110_slab.cif,multiple adsorption site structure
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,O,2,data\substituted_adsorbates\MAT_010_O_site2_adsorbed.cif,data\substituted_slabs\MAT_010_110_slab.cif,multiple adsorption site structure
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,O2,0,data\substituted_adsorbates\MAT_010_O2_site0_adsorbed.cif,data\substituted_slabs\MAT_010_110_slab.cif,multiple adsorption site structure
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,O2,1,data\substituted_adsorbates\MAT_010_O2_site1_adsorbed.cif,data\substituted_slabs\MAT_010_110_slab.cif,multiple adsorption site structure
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,O2,2,data\substituted_adsorbates\MAT_010_O2_site2_adsorbed.cif,data\substituted_slabs\MAT_010_110_slab.cif,multiple adsorption site structure
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,N2O,0,data\substituted_adsorbates\MAT_010_N2O_site0_adsorbed.cif,data\substituted_slabs\MAT_010_110_slab.cif,multiple adsorption site structure
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,N2O,1,data\substituted_adsorbates\MAT_010_N2O_site1_adsorbed.cif,data\substituted_slabs\MAT_010_110_slab.cif,multiple adsorption site structure
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,N2O,2,data\substituted_adsorbates\MAT_010_N2O_site2_adsorbed.cif,data\substituted_slabs\MAT_010_110_slab.cif,multiple adsorption site structure
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,O,0,data\substituted_adsorbates\MAT_012_O_site0_adsorbed.cif,data\substituted_slabs\MAT_012_110_slab.cif,multiple adsorption site structure
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,O,1,data\substituted_adsorbates\MAT_012_O_site1_adsorbed.cif,data\substituted_slabs\MAT_012_110_slab.cif,multiple adsorption site structure
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,O,2,data\substituted_adsorbates\MAT_012_O_site2_adsorbed.cif,data\substituted_slabs\MAT_012_110_slab.cif,multiple adsorption site structure
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,O2,0,data\substituted_adsorbates\MAT_012_O2_site0_adsorbed.cif,data\substituted_slabs\MAT_012_110_slab.cif,multiple adsorption site structure
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,O2,1,data\substituted_adsorbates\MAT_012_O2_site1_adsorbed.cif,data\substituted_slabs\MAT_012_110_slab.cif,multiple adsorption site structure
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,O2,2,data\substituted_adsorbates\MAT_012_O2_site2_adsorbed.cif,data\substituted_slabs\MAT_012_110_slab.cif,multiple adsorption site structure
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,N2O,0,data\substituted_adsorbates\MAT_012_N2O_site0_adsorbed.cif,data\substituted_slabs\MAT_012_110_slab.cif,multiple adsorption site structure
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,N2O,1,data\substituted_adsorbates\MAT_012_N2O_site1_adsorbed.cif,data\substituted_slabs\MAT_012_110_slab.cif,multiple adsorption site structure
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,N2O,2,data\substituted_adsorbates\MAT_012_N2O_site2_adsorbed.cif,data\substituted_slabs\MAT_012_110_slab.cif,multiple adsorption site structure
MAT_013,Mg,0.6,0.4,Ru0.60Mg0.40Ox,O,0,data\substituted_adsorbates\MAT_013_O_site0_adsorbed.cif,data\substituted_slabs\MAT_013_110_slab.cif,multiple adsorption site structure
MAT_013,Mg,0.6,0.4,Ru0.60Mg0.40Ox,O,1,data\substituted_adsorbates\MAT_013_O_site1_adsorbed.cif,data\substituted_slabs\MAT_013_110_slab.cif,multiple adsorption site structure
MAT_013,Mg,0.6,0.4,Ru0.60Mg0.40Ox,O,2,data\substituted_adsorbates\MAT_013_O_site2_adsorbed.cif,data\substituted_slabs\MAT_013_110_slab.cif,multiple adsorption site structure
MAT_013,Mg,0.6,0.4,Ru0.60Mg0.40Ox,O2,0,data\substituted_adsorbates\MAT_013_O2_site0_adsorbed.cif,data\substituted_slabs\MAT_013_110_slab.cif,multiple adsorption site structure
MAT_013,Mg,0.6,0.4,Ru0.60Mg0.40Ox,O2,1,data\substituted_adsorbates\MAT_013_O2_site1_adsorbed.cif,data\substituted_slabs\MAT_013_110_slab.cif,multiple adsorption site structure
MAT_013,Mg,0.6,0.4,Ru0.60Mg0.40Ox,O2,2,data\substituted_adsorbates\MAT_013_O2_site2_adsorbed.cif,data\substituted_slabs\MAT_013_110_slab.cif,multiple adsorption site structure
