material_id,M_element,Ru_fraction,M_fraction,nominal_formula,adsorption_site_index,h2o_structure_file,predicted_energy_eV,backend,status
MAT_030,K,0.2,0.8,Ru0.20K0.80Ox,0,data\h2o_adsorbates\MAT_030_H2O_site0.cif,-335.48246600504433,uma-s-1p2,success
MAT_030,K,0.2,0.8,Ru0.20K0.80Ox,1,data\h2o_adsorbates\MAT_030_H2O_site1.cif,-335.32765448497355,uma-s-1p2,success
MAT_030,K,0.2,0.8,Ru0.20K0.80Ox,2,data\h2o_adsorbates\MAT_030_H2O_site2.cif,-335.3028029627517,uma-s-1p2,success
MAT_032,Ca,0.8,0.1999999999999999,Ru0.80Ca0.20Ox,0,data\h2o_adsorbates\MAT_032_H2O_site0.cif,-641.1455283104265,uma-s-1p2,success
MAT_032,Ca,0.8,0.1999999999999999,Ru0.80Ca0.20Ox,1,data\h2o_adsorbates\MAT_032_H2O_site1.cif,-642.4380171532656,uma-s-1p2,success
MAT_032,Ca,0.8,0.1999999999999999,Ru0.80Ca0.20Ox,2,data\h2o_adsorbates\MAT_032_H2O_site2.cif,-641.7613263211847,uma-s-1p2,success
MAT_033,Ca,0.6,0.4,Ru0.60Ca0.40Ox,0,data\h2o_adsorbates\MAT_033_H2O_site0.cif,-606.6779812655541,uma-s-1p2,success
MAT_033,Ca,0.6,0.4,Ru0.60Ca0.40Ox,1,data\h2o_adsorbates\MAT_033_H2O_site1.cif,-607.9946575783335,uma-s-1p2,success
MAT_033,Ca,0.6,0.4,Ru0.60Ca0.40Ox,2,data\h2o_adsorbates\MAT_033_H2O_site2.cif,-607.1553722492791,uma-s-1p2,success
MAT_034,Ca,0.4,0.6,Ru0.40Ca0.60Ox,0,data\h2o_adsorbates\MAT_034_H2O_site0.cif,-533.1352775710199,uma-s-1p2,success
MAT_034,Ca,0.4,0.6,Ru0.40Ca0.60Ox,1,data\h2o_adsorbates\MAT_034_H2O_site1.cif,-533.2085575610515,uma-s-1p2,success
MAT_034,Ca,0.4,0.6,Ru0.40Ca0.60Ox,2,data\h2o_adsorbates\MAT_034_H2O_site2.cif,-533.5729116814553,uma-s-1p2,success
MAT_035,Ca,0.2,0.8,Ru0.20Ca0.80Ox,0,data\h2o_adsorbates\MAT_035_H2O_site0.cif,-496.4654904074994,uma-s-1p2,success
MAT_035,Ca,0.2,0.8,Ru0.20Ca0.80Ox,1,data\h2o_adsorbates\MAT_035_H2O_site1.cif,-496.52210367913216,uma-s-1p2,success
MAT_035,Ca,0.2,0.8,Ru0.20Ca0.80Ox,2,data\h2o_adsorbates\MAT_035_H2O_site2.cif,-496.46835908855905,uma-s-1p2,success
MAT_037,Sc,0.8,0.1999999999999999,Ru0.80Sc0.20Ox,0,data\h2o_adsorbates\MAT_037_H2O_site0.cif,-717.884335821978,uma-s-1p2,success
MAT_037,Sc,0.8,0.1999999999999999,Ru0.80Sc0.20Ox,1,data\h2o_adsorbates\MAT_037_H2O_site1.cif,-718.4428504946162,uma-s-1p2,success
MAT_037,Sc,0.8,0.1999999999999999,Ru0.80Sc0.20Ox,2,data\h2o_adsorbates\MAT_037_H2O_site2.cif,-717.832717205573,uma-s-1p2,success
MAT_038,Sc,0.6,0.4,Ru0.60Sc0.40Ox,0,data\h2o_adsorbates\MAT_038_H2O_site0.cif,-722.2910889857534,uma-s-1p2,success
MAT_038,Sc,0.6,0.4,Ru0.60Sc0.40Ox,1,data\h2o_adsorbates\MAT_038_H2O_site1.cif,-722.8544870433177,uma-s-1p2,success
MAT_038,Sc,0.6,0.4,Ru0.60Sc0.40Ox,2,data\h2o_adsorbates\MAT_038_H2O_site2.cif,-722.0842476510951,uma-s-1p2,success
MAT_039,Sc,0.4,0.6,Ru0.40Sc0.60Ox,0,data\h2o_adsorbates\MAT_039_H2O_site0.cif,-731.2982579138161,uma-s-1p2,success
MAT_039,Sc,0.4,0.6,Ru0.40Sc0.60Ox,1,data\h2o_adsorbates\MAT_039_H2O_site1.cif,-731.4549375771132,uma-s-1p2,success
MAT_039,Sc,0.4,0.6,Ru0.40Sc0.60Ox,2,data\h2o_adsorbates\MAT_039_H2O_site2.cif,-731.1299997349905,uma-s-1p2,success
MAT_040,Sc,0.2,0.8,Ru0.20Sc0.80Ox,0,data\h2o_adsorbates\MAT_040_H2O_site0.cif,-736.2511073506464,uma-s-1p2,success
MAT_040,Sc,0.2,0.8,Ru0.20Sc0.80Ox,1,data\h2o_adsorbates\MAT_040_H2O_site1.cif,-736.4070811846805,uma-s-1p2,success
MAT_040,Sc,0.2,0.8,Ru0.20Sc0.80Ox,2,data\h2o_adsorbates\MAT_040_H2O_site2.cif,-736.4261855760734,uma-s-1p2,success
MAT_042,Ti,0.8,0.1999999999999999,Ru0.80Ti0.20Ox,0,data\h2o_adsorbates\MAT_042_H2O_site0.cif,-734.7579317779048,uma-s-1p2,success
MAT_042,Ti,0.8,0.1999999999999999,Ru0.80Ti0.20Ox,1,data\h2o_adsorbates\MAT_042_H2O_site1.cif,-734.8666120392145,uma-s-1p2,success
MAT_042,Ti,0.8,0.1999999999999999,Ru0.80Ti0.20Ox,2,data\h2o_adsorbates\MAT_042_H2O_site2.cif,-734.3146131858648,uma-s-1p2,success
MAT_043,Ti,0.6,0.4,Ru0.60Ti0.40Ox,0,data\h2o_adsorbates\MAT_043_H2O_site0.cif,-748.7975140103828,uma-s-1p2,success
MAT_043,Ti,0.6,0.4,Ru0.60Ti0.40Ox,1,data\h2o_adsorbates\MAT_043_H2O_site1.cif,-748.913907360327,uma-s-1p2,success
MAT_043,Ti,0.6,0.4,Ru0.60Ti0.40Ox,2,data\h2o_adsorbates\MAT_043_H2O_site2.cif,-748.3149320048691,uma-s-1p2,success
MAT_044,Ti,0.4,0.6,Ru0.40Ti0.60Ox,0,data\h2o_adsorbates\MAT_044_H2O_site0.cif,-781.3142965802666,uma-s-1p2,success
MAT_044,Ti,0.4,0.6,Ru0.40Ti0.60Ox,1,data\h2o_adsorbates\MAT_044_H2O_site1.cif,-781.2374591376589,uma-s-1p2,success
MAT_044,Ti,0.4,0.6,Ru0.40Ti0.60Ox,2,data\h2o_adsorbates\MAT_044_H2O_site2.cif,-780.7800336965724,uma-s-1p2,success
MAT_045,Ti,0.2,0.8,Ru0.20Ti0.80Ox,0,data\h2o_adsorbates\MAT_045_H2O_site0.cif,-797.4367911740711,uma-s-1p2,success
MAT_045,Ti,0.2,0.8,Ru0.20Ti0.80Ox,1,data\h2o_adsorbates\MAT_045_H2O_site1.cif,-797.3528569339196,uma-s-1p2,success
MAT_045,Ti,0.2,0.8,Ru0.20Ti0.80Ox,2,data\h2o_adsorbates\MAT_045_H2O_site2.cif,-797.5120269382535,uma-s-1p2,success
MAT_047,V,0.8,0.1999999999999999,Ru0.80V0.20Ox,0,data\h2o_adsorbates\MAT_047_H2O_site0.cif,-709.1542867957794,uma-s-1p2,success
MAT_047,V,0.8,0.1999999999999999,Ru0.80V0.20Ox,1,data\h2o_adsorbates\MAT_047_H2O_site1.cif,-709.2240577218431,uma-s-1p2,success
MAT_047,V,0.8,0.1999999999999999,Ru0.80V0.20Ox,2,data\h2o_adsorbates\MAT_047_H2O_site2.cif,-708.6608461596436,uma-s-1p2,success
MAT_048,V,0.6,0.4,Ru0.60V0.40Ox,0,data\h2o_adsorbates\MAT_048_H2O_site0.cif,-710.5002355458965,uma-s-1p2,success
MAT_048,V,0.6,0.4,Ru0.60V0.40Ox,1,data\h2o_adsorbates\MAT_048_H2O_site1.cif,-710.5652662681206,uma-s-1p2,success
MAT_048,V,0.6,0.4,Ru0.60V0.40Ox,2,data\h2o_adsorbates\MAT_048_H2O_site2.cif,-710.0076338789365,uma-s-1p2,success
MAT_049,V,0.4,0.6,Ru0.40V0.60Ox,0,data\h2o_adsorbates\MAT_049_H2O_site0.cif,-717.0380305822752,uma-s-1p2,success
MAT_049,V,0.4,0.6,Ru0.40V0.60Ox,1,data\h2o_adsorbates\MAT_049_H2O_site1.cif,-717.049109123848,uma-s-1p2,success
MAT_049,V,0.4,0.6,Ru0.40V0.60Ox,2,data\h2o_adsorbates\MAT_049_H2O_site2.cif,-716.4867594577956,uma-s-1p2,success
MAT_050,V,0.2,0.8,Ru0.20V0.80Ox,0,data\h2o_adsorbates\MAT_050_H2O_site0.cif,-721.1485112972305,uma-s-1p2,success
MAT_050,V,0.2,0.8,Ru0.20V0.80Ox,1,data\h2o_adsorbates\MAT_050_H2O_site1.cif,-721.1715869765335,uma-s-1p2,success
MAT_050,V,0.2,0.8,Ru0.20V0.80Ox,2,data\h2o_adsorbates\MAT_050_H2O_site2.cif,-720.9299110508732,uma-s-1p2,success
MAT_052,Cr,0.8,0.1999999999999999,Ru0.80Cr0.20Ox,0,data\h2o_adsorbates\MAT_052_H2O_site0.cif,-704.7249414179572,uma-s-1p2,success
MAT_052,Cr,0.8,0.1999999999999999,Ru0.80Cr0.20Ox,1,data\h2o_adsorbates\MAT_052_H2O_site1.cif,-704.7594567536313,uma-s-1p2,success
MAT_052,Cr,0.8,0.1999999999999999,Ru0.80Cr0.20Ox,2,data\h2o_adsorbates\MAT_052_H2O_site2.cif,-704.2041629805262,uma-s-1p2,success
