material_id,M_element,Ru_fraction,M_fraction,nominal_formula,vacancy_site_index,vacancy_structure_file,predicted_energy_eV,backend,status
MAT_022,Si,0.8,0.1999999999999999,Ru0.80Si0.20Ox,1,data\vacancies\MAT_022_vacancy_site1.cif,-332.26982653008133,uma-s-1p2,success
MAT_022,Si,0.8,0.1999999999999999,Ru0.80Si0.20Ox,2,data\vacancies\MAT_022_vacancy_site2.cif,-331.3478116342433,uma-s-1p2,success
MAT_023,Si,0.6,0.4,Ru0.60Si0.40Ox,0,data\vacancies\MAT_023_vacancy_site0.cif,-328.9681336212608,uma-s-1p2,success
MAT_023,Si,0.6,0.4,Ru0.60Si0.40Ox,1,data\vacancies\MAT_023_vacancy_site1.cif,-329.0220389680987,uma-s-1p2,success
MAT_023,Si,0.6,0.4,Ru0.60Si0.40Ox,2,data\vacancies\MAT_023_vacancy_site2.cif,-328.3793083900157,uma-s-1p2,success
MAT_024,Si,0.4,0.6,Ru0.40Si0.60Ox,0,data\vacancies\MAT_024_vacancy_site0.cif,-325.25605567191195,uma-s-1p2,success
MAT_024,Si,0.4,0.6,Ru0.40Si0.60Ox,1,data\vacancies\MAT_024_vacancy_site1.cif,-325.3495946008258,uma-s-1p2,success
MAT_024,Si,0.4,0.6,Ru0.40Si0.60Ox,2,data\vacancies\MAT_024_vacancy_site2.cif,-325.29595993073275,uma-s-1p2,success
MAT_025,Si,0.2,0.8,Ru0.20Si0.80Ox,0,data\vacancies\MAT_025_vacancy_site0.cif,-324.8747585539953,uma-s-1p2,success
MAT_025,Si,0.2,0.8,Ru0.20Si0.80Ox,1,data\vacancies\MAT_025_vacancy_site1.cif,-323.11500434988034,uma-s-1p2,success
MAT_025,Si,0.2,0.8,Ru0.20Si0.80Ox,2,data\vacancies\MAT_025_vacancy_site2.cif,-324.9264543052112,uma-s-1p2,success
MAT_027,K,0.8,0.1999999999999999,Ru0.80K0.20Ox,0,data\vacancies\MAT_027_vacancy_site0.cif,-278.38876812600523,uma-s-1p2,success
MAT_027,K,0.8,0.1999999999999999,Ru0.80K0.20Ox,1,data\vacancies\MAT_027_vacancy_site1.cif,-275.34532142709173,uma-s-1p2,success
MAT_027,K,0.8,0.1999999999999999,Ru0.80K0.20Ox,2,data\vacancies\MAT_027_vacancy_site2.cif,-274.4563118363963,uma-s-1p2,success
