material_id,M_element,Ru_fraction,M_fraction,nominal_formula,structure_file,parent_lattice,notes
MAT_160,La,0.2,0.8,Ru0.20La0.80Ox,data\substituted_structures\MAT_160_Ru0.20La0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_162,Ce,0.8,0.1999999999999999,Ru0.80Ce0.20Ox,data\substituted_structures\MAT_162_Ru0.80Ce0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_163,Ce,0.6,0.4,Ru0.60Ce0.40Ox,data\substituted_structures\MAT_163_Ru0.60Ce0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_164,Ce,0.4,0.6,Ru0.40Ce0.60Ox,data\substituted_structures\MAT_164_Ru0.40Ce0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_165,Ce,0.2,0.8,Ru0.20Ce0.80Ox,data\substituted_structures\MAT_165_Ru0.20Ce0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_167,Pr,0.8,0.1999999999999999,Ru0.80Pr0.20Ox,data\substituted_structures\MAT_167_Ru0.80Pr0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_168,Pr,0.6,0.4,Ru0.60Pr0.40Ox,data\substituted_structures\MAT_168_Ru0.60Pr0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_169,Pr,0.4,0.6,Ru0.40Pr0.60Ox,data\substituted_structures\MAT_169_Ru0.40Pr0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_170,Pr,0.2,0.8,Ru0.20Pr0.80Ox,data\substituted_structures\MAT_170_Ru0.20Pr0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_172,Nd,0.8,0.1999999999999999,Ru0.80Nd0.20Ox,data\substituted_structures\MAT_172_Ru0.80Nd0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_173,Nd,0.6,0.4,Ru0.60Nd0.40Ox,data\substituted_structures\MAT_173_Ru0.60Nd0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_174,Nd,0.4,0.6,Ru0.40Nd0.60Ox,data\substituted_structures\MAT_174_Ru0.40Nd0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_175,Nd,0.2,0.8,Ru0.20Nd0.80Ox,data\substituted_structures\MAT_175_Ru0.20Nd0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_177,Sm,0.8,0.1999999999999999,Ru0.80Sm0.20Ox,data\substituted_structures\MAT_177_Ru0.80Sm0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_178,Sm,0.6,0.4,Ru0.60Sm0.40Ox,data\substituted_structures\MAT_178_Ru0.60Sm0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_179,Sm,0.4,0.6,Ru0.40Sm0.60Ox,data\substituted_structures\MAT_179_Ru0.40Sm0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_180,Sm,0.2,0.8,Ru0.20Sm0.80Ox,data\substituted_structures\MAT_180_Ru0.20Sm0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_182,Gd,0.8,0.1999999999999999,Ru0.80Gd0.20Ox,data\substituted_structures\MAT_182_Ru0.80Gd0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_183,Gd,0.6,0.4,Ru0.60Gd0.40Ox,data\substituted_structures\MAT_183_Ru0.60Gd0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_184,Gd,0.4,0.6,Ru0.40Gd0.60Ox,data\substituted_structures\MAT_184_Ru0.40Gd0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
