material_id,nominal_formula,adsorbate,adsorbate_structure_file,predicted_energy_eV,backend,status
MAT_010,Ru0.75Mn0.25Ox,O2,data\substituted_adsorbates\MAT_010_O2_site0_adsorbed.cif,-692.4641976784404,uma-s-1p2,success
MAT_010,Ru0.75Mn0.25Ox,O2,data\substituted_adsorbates\MAT_010_O2_site1_adsorbed.cif,-693.4302229207029,uma-s-1p2,success
MAT_010,Ru0.75Mn0.25Ox,O2,data\substituted_adsorbates\MAT_010_O2_site2_adsorbed.cif,-693.4578472141538,uma-s-1p2,success
MAT_010,Ru0.75Mn0.25Ox,N2O,data\substituted_adsorbates\MAT_010_N2O_site0_adsorbed.cif,-704.2412290305673,uma-s-1p2,success
MAT_010,Ru0.75Mn0.25Ox,N2O,data\substituted_adsorbates\MAT_010_N2O_site1_adsorbed.cif,-705.132629765403,uma-s-1p2,success
MAT_010,Ru0.75Mn0.25Ox,N2O,data\substituted_adsorbates\MAT_010_N2O_site2_adsorbed.cif,-704.9512383014272,uma-s-1p2,success
MAT_011,Ru0.50Mn0.50Ox,O,data\substituted_adsorbates\MAT_011_O_site0_adsorbed.cif,-342.54316002330046,uma-s-1p2,success
MAT_011,Ru0.50Mn0.50Ox,O,data\substituted_adsorbates\MAT_011_O_site1_adsorbed.cif,-343.86842212193494,uma-s-1p2,success
MAT_011,Ru0.50Mn0.50Ox,O,data\substituted_adsorbates\MAT_011_O_site2_adsorbed.cif,-340.81102714552827,uma-s-1p2,success
MAT_011,Ru0.50Mn0.50Ox,O2,data\substituted_adsorbates\MAT_011_O2_site0_adsorbed.cif,-347.18016560608015,uma-s-1p2,success
MAT_011,Ru0.50Mn0.50Ox,O2,data\substituted_adsorbates\MAT_011_O2_site1_adsorbed.cif,-348.1423404494636,uma-s-1p2,success
MAT_011,Ru0.50Mn0.50Ox,O2,data\substituted_adsorbates\MAT_011_O2_site2_adsorbed.cif,-346.8437239685588,uma-s-1p2,success
