material_id,M_element,Ru_fraction,M_fraction,nominal_formula,slab_file,predicted_energy_eV,backend,status
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,data\substituted_slabs\MAT_015_110_slab.cif,-261.5479342299818,uma-s-1p2,success
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,data\substituted_slabs\MAT_017_110_slab.cif,-338.67485226660756,uma-s-1p2,success
MAT_018,Al,0.6,0.4,Ru0.60Al0.40Ox,data\substituted_slabs\MAT_018_110_slab.cif,-334.6137878119829,uma-s-1p2,success
MAT_019,Al,0.4,0.6,Ru0.40Al0.60Ox,data\substituted_slabs\MAT_019_110_slab.cif,-326.23627339055025,uma-s-1p2,success
MAT_020,Al,0.2,0.8,Ru0.20Al0.80Ox,data\substituted_slabs\MAT_020_110_slab.cif,-322.1024361713917,uma-s-1p2,success
MAT_022,Si,0.8,0.1999999999999999,Ru0.80Si0.20Ox,data\substituted_slabs\MAT_022_110_slab.cif,-340.2269166591168,uma-s-1p2,success
MAT_023,Si,0.6,0.4,Ru0.60Si0.40Ox,data\substituted_slabs\MAT_023_110_slab.cif,-337.3258947034041,uma-s-1p2,success
MAT_024,Si,0.4,0.6,Ru0.40Si0.60Ox,data\substituted_slabs\MAT_024_110_slab.cif,-333.6488709360501,uma-s-1p2,success
MAT_025,Si,0.2,0.8,Ru0.20Si0.80Ox,data\substituted_slabs\MAT_025_110_slab.cif,-332.53629798149444,uma-s-1p2,success
MAT_027,K,0.8,0.1999999999999999,Ru0.80K0.20Ox,data\substituted_slabs\MAT_027_110_slab.cif,-283.09300769996685,uma-s-1p2,success
MAT_028,K,0.6,0.4,Ru0.60K0.40Ox,data\substituted_slabs\MAT_028_110_slab.cif,-250.47945587396129,uma-s-1p2,success
MAT_029,K,0.4,0.6,Ru0.40K0.60Ox,data\substituted_slabs\MAT_029_110_slab.cif,-188.6575265932098,uma-s-1p2,success
MAT_030,K,0.2,0.8,Ru0.20K0.80Ox,data\substituted_slabs\MAT_030_110_slab.cif,-160.95233889362788,uma-s-1p2,success
MAT_032,Ca,0.8,0.1999999999999999,Ru0.80Ca0.20Ox,data\substituted_slabs\MAT_032_110_slab.cif,-314.0405334471987,uma-s-1p2,success
MAT_033,Ca,0.6,0.4,Ru0.60Ca0.40Ox,data\substituted_slabs\MAT_033_110_slab.cif,-296.82997327587964,uma-s-1p2,success
MAT_034,Ca,0.4,0.6,Ru0.40Ca0.60Ox,data\substituted_slabs\MAT_034_110_slab.cif,-260.0338604344323,uma-s-1p2,success
MAT_035,Ca,0.2,0.8,Ru0.20Ca0.80Ox,data\substituted_slabs\MAT_035_110_slab.cif,-241.69520612944723,uma-s-1p2,success
MAT_037,Sc,0.8,0.1999999999999999,Ru0.80Sc0.20Ox,data\substituted_slabs\MAT_037_110_slab.cif,-352.0353356012185,uma-s-1p2,success
MAT_038,Sc,0.6,0.4,Ru0.60Sc0.40Ox,data\substituted_slabs\MAT_038_110_slab.cif,-354.24120587745,uma-s-1p2,success
MAT_039,Sc,0.4,0.6,Ru0.40Sc0.60Ox,data\substituted_slabs\MAT_039_110_slab.cif,-358.81948752555786,uma-s-1p2,success
MAT_040,Sc,0.2,0.8,Ru0.20Sc0.80Ox,data\substituted_slabs\MAT_040_110_slab.cif,-361.36290285855387,uma-s-1p2,success
MAT_042,Ti,0.8,0.1999999999999999,Ru0.80Ti0.20Ox,data\substituted_slabs\MAT_042_110_slab.cif,-360.22973650003297,uma-s-1p2,success
MAT_043,Ti,0.6,0.4,Ru0.60Ti0.40Ox,data\substituted_slabs\MAT_043_110_slab.cif,-367.2566181608918,uma-s-1p2,success
MAT_044,Ti,0.4,0.6,Ru0.40Ti0.60Ox,data\substituted_slabs\MAT_044_110_slab.cif,-383.503428615611,uma-s-1p2,success
MAT_045,Ti,0.2,0.8,Ru0.20Ti0.80Ox,data\substituted_slabs\MAT_045_110_slab.cif,-391.54716473441385,uma-s-1p2,success
MAT_047,V,0.8,0.1999999999999999,Ru0.80V0.20Ox,data\substituted_slabs\MAT_047_110_slab.cif,-347.3881773205141,uma-s-1p2,success
MAT_048,V,0.6,0.4,Ru0.60V0.40Ox,data\substituted_slabs\MAT_048_110_slab.cif,-348.0607378527395,uma-s-1p2,success
MAT_049,V,0.4,0.6,Ru0.40V0.60Ox,data\substituted_slabs\MAT_049_110_slab.cif,-351.3379553906404,uma-s-1p2,success
MAT_050,V,0.2,0.8,Ru0.20V0.80Ox,data\substituted_slabs\MAT_050_110_slab.cif,-353.43596361741834,uma-s-1p2,success
MAT_052,Cr,0.8,0.1999999999999999,Ru0.80Cr0.20Ox,data\substituted_slabs\MAT_052_110_slab.cif,-345.1601643575453,uma-s-1p2,success
MAT_053,Cr,0.6,0.4,Ru0.60Cr0.40Ox,data\substituted_slabs\MAT_053_110_slab.cif,-344.4579458402096,uma-s-1p2,success
MAT_054,Cr,0.4,0.6,Ru0.40Cr0.60Ox,data\substituted_slabs\MAT_054_110_slab.cif,-343.87628039598576,uma-s-1p2,success
MAT_055,Cr,0.2,0.8,Ru0.20Cr0.80Ox,data\substituted_slabs\MAT_055_110_slab.cif,-343.80360057932285,uma-s-1p2,success
MAT_057,Mn,0.8,0.1999999999999999,Ru0.80Mn0.20Ox,data\substituted_slabs\MAT_057_110_slab.cif,-341.43336704852,uma-s-1p2,success
MAT_058,Mn,0.6,0.4,Ru0.60Mn0.40Ox,data\substituted_slabs\MAT_058_110_slab.cif,-338.6003262071765,uma-s-1p2,success
MAT_059,Mn,0.4,0.6,Ru0.40Mn0.60Ox,data\substituted_slabs\MAT_059_110_slab.cif,-334.6283497805454,uma-s-1p2,success
MAT_060,Mn,0.2,0.8,Ru0.20Mn0.80Ox,data\substituted_slabs\MAT_060_110_slab.cif,-333.1641623746102,uma-s-1p2,success
MAT_062,Fe,0.8,0.1999999999999999,Ru0.80Fe0.20Ox,data\substituted_slabs\MAT_062_110_slab.cif,-332.06440178384804,uma-s-1p2,success
MAT_063,Fe,0.6,0.4,Ru0.60Fe0.40Ox,data\substituted_slabs\MAT_063_110_slab.cif,-324.5296972247155,uma-s-1p2,success
MAT_064,Fe,0.4,0.6,Ru0.40Fe0.60Ox,data\substituted_slabs\MAT_064_110_slab.cif,-309.776627709363,uma-s-1p2,success
MAT_065,Fe,0.2,0.8,Ru0.20Fe0.80Ox,data\substituted_slabs\MAT_065_110_slab.cif,-302.6836314524827,uma-s-1p2,success
MAT_067,Co,0.8,0.1999999999999999,Ru0.80Co0.20Ox,data\substituted_slabs\MAT_067_110_slab.cif,-326.31329516410165,uma-s-1p2,success
MAT_068,Co,0.6,0.4,Ru0.60Co0.40Ox,data\substituted_slabs\MAT_068_110_slab.cif,-315.7885656550521,uma-s-1p2,success
MAT_069,Co,0.4,0.6,Ru0.40Co0.60Ox,data\substituted_slabs\MAT_069_110_slab.cif,-294.6392891274124,uma-s-1p2,success
MAT_070,Co,0.2,0.8,Ru0.20Co0.80Ox,data\substituted_slabs\MAT_070_110_slab.cif,-284.16262924607383,uma-s-1p2,success
MAT_072,Ni,0.8,0.1999999999999999,Ru0.80Ni0.20Ox,data\substituted_slabs\MAT_072_110_slab.cif,-313.7331493892163,uma-s-1p2,success
MAT_073,Ni,0.6,0.4,Ru0.60Ni0.40Ox,data\substituted_slabs\MAT_073_110_slab.cif,-296.6589467696166,uma-s-1p2,success
MAT_074,Ni,0.4,0.6,Ru0.40Ni0.60Ox,data\substituted_slabs\MAT_074_110_slab.cif,-261.20430632841243,uma-s-1p2,success
MAT_075,Ni,0.2,0.8,Ru0.20Ni0.80Ox,data\substituted_slabs\MAT_075_110_slab.cif,-243.078168519881,uma-s-1p2,success
MAT_077,Cu,0.8,0.1999999999999999,Ru0.80Cu0.20Ox,data\substituted_slabs\MAT_077_110_slab.cif,-316.020601616449,uma-s-1p2,success
MAT_078,Cu,0.6,0.4,Ru0.60Cu0.40Ox,data\substituted_slabs\MAT_078_110_slab.cif,-299.9842287064206,uma-s-1p2,success
MAT_079,Cu,0.4,0.6,Ru0.40Cu0.60Ox,data\substituted_slabs\MAT_079_110_slab.cif,-267.78692101294604,uma-s-1p2,success
MAT_080,Cu,0.2,0.8,Ru0.20Cu0.80Ox,data\substituted_slabs\MAT_080_110_slab.cif,-251.50741969662383,uma-s-1p2,success
MAT_082,Zn,0.8,0.1999999999999999,Ru0.80Zn0.20Ox,data\substituted_slabs\MAT_082_110_slab.cif,-309.38474922186657,uma-s-1p2,success
MAT_083,Zn,0.6,0.4,Ru0.60Zn0.40Ox,data\substituted_slabs\MAT_083_110_slab.cif,-290.0267209496534,uma-s-1p2,success
MAT_084,Zn,0.4,0.6,Ru0.40Zn0.60Ox,data\substituted_slabs\MAT_084_110_slab.cif,-249.40342842281416,uma-s-1p2,success
MAT_085,Zn,0.2,0.8,Ru0.20Zn0.80Ox,data\substituted_slabs\MAT_085_110_slab.cif,-228.79722734880534,uma-s-1p2,success
MAT_087,Ga,0.8,0.1999999999999999,Ru0.80Ga0.20Ox,data\substituted_slabs\MAT_087_110_slab.cif,-324.27584938245303,uma-s-1p2,success
MAT_088,Ga,0.6,0.4,Ru0.60Ga0.40Ox,data\substituted_slabs\MAT_088_110_slab.cif,-312.692881331175,uma-s-1p2,success
MAT_089,Ga,0.4,0.6,Ru0.40Ga0.60Ox,data\substituted_slabs\MAT_089_110_slab.cif,-289.6952701886231,uma-s-1p2,success
MAT_090,Ga,0.2,0.8,Ru0.20Ga0.80Ox,data\substituted_slabs\MAT_090_110_slab.cif,-278.921738214356,uma-s-1p2,success
