material_id,M_element,Ru_fraction,M_fraction,nominal_formula,miller_index,slab_file,parent_structure_file,notes
MAT_082,Zn,0.8,0.1999999999999999,Ru0.80Zn0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_082_110_slab.cif,data\substituted_structures\MAT_082_Ru0.80Zn0.20Ox.cif,generated substituted slab
MAT_083,Zn,0.6,0.4,Ru0.60Zn0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_083_110_slab.cif,data\substituted_structures\MAT_083_Ru0.60Zn0.40Ox.cif,generated substituted slab
MAT_084,Zn,0.4,0.6,Ru0.40Zn0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_084_110_slab.cif,data\substituted_structures\MAT_084_Ru0.40Zn0.60Ox.cif,generated substituted slab
MAT_085,Zn,0.2,0.8,Ru0.20Zn0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_085_110_slab.cif,data\substituted_structures\MAT_085_Ru0.20Zn0.80Ox.cif,generated substituted slab
MAT_087,Ga,0.8,0.1999999999999999,Ru0.80Ga0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_087_110_slab.cif,data\substituted_structures\MAT_087_Ru0.80Ga0.20Ox.cif,generated substituted slab
MAT_088,Ga,0.6,0.4,Ru0.60Ga0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_088_110_slab.cif,data\substituted_structures\MAT_088_Ru0.60Ga0.40Ox.cif,generated substituted slab
MAT_089,Ga,0.4,0.6,Ru0.40Ga0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_089_110_slab.cif,data\substituted_structures\MAT_089_Ru0.40Ga0.60Ox.cif,generated substituted slab
MAT_090,Ga,0.2,0.8,Ru0.20Ga0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_090_110_slab.cif,data\substituted_structures\MAT_090_Ru0.20Ga0.80Ox.cif,generated substituted slab
MAT_092,Ge,0.8,0.1999999999999999,Ru0.80Ge0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_092_110_slab.cif,data\substituted_structures\MAT_092_Ru0.80Ge0.20Ox.cif,generated substituted slab
MAT_093,Ge,0.6,0.4,Ru0.60Ge0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_093_110_slab.cif,data\substituted_structures\MAT_093_Ru0.60Ge0.40Ox.cif,generated substituted slab
MAT_094,Ge,0.4,0.6,Ru0.40Ge0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_094_110_slab.cif,data\substituted_structures\MAT_094_Ru0.40Ge0.60Ox.cif,generated substituted slab
MAT_095,Ge,0.2,0.8,Ru0.20Ge0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_095_110_slab.cif,data\substituted_structures\MAT_095_Ru0.20Ge0.80Ox.cif,generated substituted slab
MAT_097,Sr,0.8,0.1999999999999999,Ru0.80Sr0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_097_110_slab.cif,data\substituted_structures\MAT_097_Ru0.80Sr0.20Ox.cif,generated substituted slab
MAT_098,Sr,0.6,0.4,Ru0.60Sr0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_098_110_slab.cif,data\substituted_structures\MAT_098_Ru0.60Sr0.40Ox.cif,generated substituted slab
MAT_099,Sr,0.4,0.6,Ru0.40Sr0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_099_110_slab.cif,data\substituted_structures\MAT_099_Ru0.40Sr0.60Ox.cif,generated substituted slab
MAT_100,Sr,0.2,0.8,Ru0.20Sr0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_100_110_slab.cif,data\substituted_structures\MAT_100_Ru0.20Sr0.80Ox.cif,generated substituted slab
MAT_102,Y,0.8,0.1999999999999999,Ru0.80Y0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_102_110_slab.cif,data\substituted_structures\MAT_102_Ru0.80Y0.20Ox.cif,generated substituted slab
MAT_103,Y,0.6,0.4,Ru0.60Y0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_103_110_slab.cif,data\substituted_structures\MAT_103_Ru0.60Y0.40Ox.cif,generated substituted slab
MAT_104,Y,0.4,0.6,Ru0.40Y0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_104_110_slab.cif,data\substituted_structures\MAT_104_Ru0.40Y0.60Ox.cif,generated substituted slab
MAT_105,Y,0.2,0.8,Ru0.20Y0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_105_110_slab.cif,data\substituted_structures\MAT_105_Ru0.20Y0.80Ox.cif,generated substituted slab
MAT_107,Zr,0.8,0.1999999999999999,Ru0.80Zr0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_107_110_slab.cif,data\substituted_structures\MAT_107_Ru0.80Zr0.20Ox.cif,generated substituted slab
